track_id,track_name,artist_name,artist_id,release_date,album_type,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
45Ln3F9PRPYTXBcMFkZMzS,R.I.P. Fredo (feat. Young Nudy) - Notice Me,"['Playboi Carti', 'Young Nudy']","['699OTQXzgjhIYAHMy9RyPD', '5yPzzu25VzEk8qrGTLIrE1']",2018-05-11,album,62,0.912,0.755,2,-5.393,1,0.142,0.1,0.0,0.179,0.625,140.051,161200,4
4l7woy9fyyFsYSlQtOj5fG,"BMF (ft. Rick Ross, Styles P.)",['DJ Rell'],['4sw1fHktKBWUVIoSUGGxrT'],2011-05-24,compilation,40,0.726,0.838,2,-4.221,1,0.0643,0.0108,0.0,0.377,0.359,139.964,248040,4
2Q13JqwPOhGIgvuHgdk6eZ,Overseas (feat. Lil Pump),"['Desiigner', 'Lil Pump']","['7pFeBzX627ff0VnN6bxPR4', '3wyVrVrFCkukjdVIdirGVY']",2018-11-09,single,49,0.892,0.679,9,-6.495,1,0.0676,0.129,1.55e-05,0.301,0.434,129.992,192027,4
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),"['Meek Mill', 'Drake']","['20sxb77xiYeusSH8cVdatc', '3TVXtAsR1Inumwj472S9r4']",2018-11-30,album,83,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,180522,4
0ibOcbkp2XG46Do8jcy0bL,Nephew (feat. Lil Pump),"['Smokepurpp', 'Lil Pump']","['21dooacK2WGBB5amYvKyfM', '3wyVrVrFCkukjdVIdirGVY']",2018-07-27,single,64,0.792,0.454,9,-6.753,1,0.458,0.00422,0.0,0.285,0.674,161.993,202963,4
7txPE73wHbuXYkM1h8zNrG,Mob Ties,['Drake'],['3TVXtAsR1Inumwj472S9r4'],2018-06-29,album,5,0.755,0.575,4,-8.392,0,0.0673,0.0443,0.00127,0.276,0.493,85.994,205147,4
0XOMoQbYxYPVLxwK4VDmNA,All Of A Sudden,"['Lil Baby', 'Moneybagg Yo']","['5f7VJjfbwm532GiveGC0ZK', '3tJoFztHeIJkJWMrx0td2f']",2017-12-01,album,60,0.759,0.727,1,-5.617,1,0.111,0.000151,0.0015,0.0588,0.376,139.995,169187,4
0z0qRN3HNUCOG9y1R7umuD,Do Like That,['Korede Bello'],['2TwUVWFJs4LD0lOBbJXnNa'],2016-09-12,single,61,0.812,0.366,5,-10.245,0,0.447,0.36,0.0,0.0793,0.659,114.093,213519,4
1NAR2XeNMp6SegDBp0NlRy,Way Too Fly (feat. DaVido),"['A Boogie Wit da Hoodie', 'DaVido']","['31W5EY0aAly4Qieq6OFu6I', '0Y3agQaa6g2r0YmHPOO9rh']",2018-06-20,album,50,0.602,0.771,10,-4.799,0,0.261,0.125,0.0,0.254,0.864,216.115,172708,4
1Szfm2XAx3Kgl55dyl8sTU,Time (feat. Meek Mill),"['Lil Baby', 'Meek Mill']","['5f7VJjfbwm532GiveGC0ZK', '20sxb77xiYeusSH8cVdatc']",2018-11-30,album,60,0.781,0.487,8,-8.823,1,0.589,0.0335,0.0,0.163,0.344,95.879,182723,4
