artist_id,artist_genre,artist_follower_count
2auiVi8sUZo17dLy1HwrTU,"['afrofuturism', 'alternative r&b', 'art pop', 'dance pop', 'electropop', 'escape room', 'hip pop', 'indie soul', 'neo soul', 'pop', 'r&b', 'urban contemporary']",1007538
2FwDTncULUnmANIh7qKa5z,"['filter house', 'indie soul']",682649
6HCkJzbswOIc7Qc5TJ1n5l,"['alternative r&b', 'indie r&b', 'indie soul']",149625
1cNDP5yjU5vjeR8qMf4grg,['melodic rap'],3180996
2KNrpdPEKndErPWFHkpvj6,[],20386
5wPoxI5si3eJsYYwyXV4Wi,['hip hop'],551529
7aFTOGFDEqDtJUCziLVsVC,"['alternative r&b', 'electropop', 'indie r&b', 'indie soul', 'neo soul', 'pop', 'r&b', 'uk contemporary r&b', 'urban contemporary']",360450
09kXLeOXRyfNQMXRaDO4qA,"['art pop', 'indie rock', 'indie soul', 'uk alternative pop']",76661
7e3FtKBIPLrIVm8g1FJMVg,"['abstract beats', 'alternative r&b', 'indie r&b', 'indie soul', 'neo r&b']",138481
3UjPnt2nRmw10N58bBeNOg,"['alternative r&b', 'indie r&b', 'indie soul', 'trap soul']",203760
3eCd0TZrBPm2n9cDG6yWfF,"['k-pop', 'korean r&b']",766163
3jk39CGeaaSO3FPKNx1RUx,"['alternative r&b', 'escape room', 'indie r&b', 'lgbtq+ hip hop']",296409
0dTj3SqwE8kPnCzyzvYzhT,"['k-indie', 'korean r&b']",150913
3NdOtTPPaXrCyC7Lpmzyhv,"['k-hop', 'k-indie', 'k-pop', 'korean r&b']",155441
04xEkodoWyFji8icX911jM,['korean r&b'],22032
4mGPVJbOURnByVYcaQZa2J,['retro soul'],6860
0Gg4U9BDAp8kQT2yYZMDpU,[],13
60jVpPkp3hgECctyeE9gWH,['neo r&b'],8318
0h9smro0z3HqUbD94jotU8,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",613816
6UdKtISMXYKSR8jcgtFePo,"['k-hop', 'k-indie', 'korean r&b']",44441
4bNOdxc26omK0xR7FPucJn,['hmong pop'],14879
4tRZRfhgfLEIUI9mw9Njy2,"['alternative r&b', 'indie r&b', 'indie soul']",35573
31SBgHxc8eqZUk9MdveH42,"['alternative r&b', 'indie r&b']",93210
6B6cKjlIJUSCgn5EfyT8PH,[],615
1oVkEH9Hv9j256vUn3wkCl,[],275
6UOV42aOSJ5YrbYzLIfLwr,[],39441
7gSjFKpVmDgC2MMsnN8CYq,"['alternative r&b', 'dance pop', 'deep pop r&b', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']",999536
07EcmJpfAday8xGkslfanE,"['hip hop', 'lgbtq+ hip hop', 'rap']",410857
4XMc1qHObZ7aXQrH5MmbjK,['retro soul'],33123
